group,team,min,max,mean,median,25th,75th
A,Man Utd,1.5,1.83,1.63875,1.64,1.6025,1.6775
A,Shakhtar Donetsk,4.75,6,5.460625,5.5,5.2775,5.625
A,Bayer Leverkusen,5,7,6.105,6,5.5,6.5
A,Real Sociedad,5.5,8,6.67625,6.5,6,7.5
B,Real Madrid,1.4,1.53,1.470666667,1.48,1.445,1.5
B,Juventus,2.75,3.5,2.956,2.88,2.75,3
B,Galatasaray,11,17,13.8,13,12.5,15
B,FC Copenhagen,41,101,68.14285714,59,51,95.25
C,PSG,1.4,1.67,1.544,1.53,1.5,1.6075
C,Benfica,1.36,3.75,2.592142857,2.815,1.85,3
C,Olympiakos,2.75,20,10.66071429,12,5.375,14.5
C,Anderlecht,15,26,19.78571429,20.5,19,21
D,Bayern Munich,1.45,1.67,1.545454545,1.57,1.5,1.57
D,Man City,1.38,3,2.485,2.75,2.53,2.86
D,CSKA Moscow,2.42,21,10.47625,12,3.2,13
D,Plzen,15,101,42.66666667,41,27.5,51
E,Chelsea,1.2,1.36,1.273636364,1.25,1.25,1.31
E,Schalke 04,1.17,6,3.92,4.5,2.625,5
E,Basel,5,17,10.83333333,12,8.25,13
E,Steaua Bucharest,12,67,29.13333333,26,19,34
F,Bor Dortmund,2.1,2.63,2.358,2.375,2.25,2.5
F,Arsenal,2,3.75,2.780666667,3,2.415,3
F,Napoli,2.5,4,3.479333333,3.5,3.275,3.75
F,Marseille,3.57,15,8.661333333,10,4,11
G,Atletico Madrid,1.83,2.5,2.196,2.1,2.1,2.36
G,Porto,1.73,3,2.58875,2.75,2.2225,2.8575
G,Zenit St Petersburg,2.71,5,3.74625,4,2.9625,4.5
G,Austria Vienna,3.5,41,19.334375,21,4,27
H,Barcelona,1.17,1.29,1.236666667,1.25,1.21,1.25
H,AC Milan,4,6,4.949333333,5,4.415,5.375
H,Ajax,12,26,17.13333333,17,15,19.5
H,Celtic,26,81,44.13333333,41,34,51
