name,division,max,min,mean,median,twentyfive,seventyfive
Oklahoma City Thunder,northwest,1.45,1.01,1.3571428571428572,1.3999999999999999,1.3999999999999999,1.4199999999999999
Portland Trail Blazers,northwest,2.9,2.5,2.6928571428571431,2.6200000000000001,2.5750000000000002,2.8399999999999999
Denver Nuggets,northwest,51.0,4.8,44.399999999999999,51.0,51.0,51.0
Minnesota Timberwolves,northwest,67.0,4.8,46.68571428571429,51.0,51.0,51.0
Utah Jazz,northwest,1001.0,9.55,666.50714285714287,1001.0,326.0,1001.0
Los Angeles Clippers,pacific,1.45,1.03,1.3657142857142854,1.3999999999999999,1.3999999999999999,1.4399999999999999
Golden State Warriors,pacific,2.75,1.95,2.6214285714285714,2.75,2.7000000000000002,2.75
Phoenix Suns,pacific,21.0,2.9,17.842857142857145,21.0,19.0,21.0
Los Angeles Lakers,pacific,251.0,6.7,187.52857142857144,201.0,176.0,251.0
Sacramento Kings,pacific,501.0,9.55,380.79285714285714,501.0,326.0,501.0
San Antonio Spurs,southwest,1.22,1.01,1.1785714285714286,1.2,1.2,1.21
Houston Rockets,southwest,4.5,1.99,4.0814285714285718,4.5,4.29,4.5
Dallas Mavericks,southwest,41.0,4.04,31.862857142857141,34.0,34.0,38.0
Memphis Grizzlies,southwest,67.0,4.23,55.747142857142862,67.0,59.0,67.0
New Orleans Pelicans,southwest,251.0,9.55,112.93571428571428,101.0,101.0,113.5
Brooklyn Nets,atlantic,2.1,1.48,1.9271428571428573,2.0,1.9049999999999998,2.0499999999999998
Toronto Raptors,atlantic,2.3,1.28,2.0828571428571427,2.2000000000000002,2.1499999999999999,2.25
New York Knicks,atlantic,9.5,1.97,8.0671428571428567,9.0,9.0,9.0
Boston Celtics,atlantic,21.0,2.95,17.707142857142859,21.0,18.5,21.0
Philadelphia 76ers,atlantic,81.0,2.95,63.135714285714286,67.0,67.0,78.5
Indiana Pacers,central,1.0,1.0,1.0,1.0,1.0,1.0
Chicago Bulls,central,26.0,1.97,18.995000000000001,21.0,18.75,24.75
Detroit Pistons,central,34.0,7.84,23.973333333333333,26.0,22.25,28.25
Cleveland Cavaliers,central,301.0,7.84,135.47333333333333,126.0,101.0,151.0
Milwaukee Bucks,central,1001.0,10.0,610.83333333333337,751.0,238.5,1001.0
Miami Heat,southeast,1.01,1.0,1.004,1.0,1.0,1.01
Atlanta Hawks,southeast,17.0,6.7,14.616666666666667,16.0,15.0,17.0
Washington Wizards,southeast,29.0,6.7,22.616666666666664,26.0,23.0,26.0
Charlotte Bobcats,southeast,101.0,9.55,80.75833333333334,96.0,83.5,101.0
Orlando Magic,southeast,501.0,9.55,210.75833333333333,201.0,163.5,201.0
