name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,1.01,,,1.0,,1.01,1.0,1.01,1.0,,1.0,1.0,,1.01,,,,1.01,,,,,,1.01,,
psg,a,1.02,1.02,1.02,1.01,1.02,1.06,1.01,1.01,1.02,1.01,1.01,1.02,,1.02,1.01,1.01,,1.02,1.01,1.01,1.01,,,1.01,,
shakhtar donetsk,a,17.0,10.0,17.0,15.0,17.0,7.5,15.0,19.0,13.0,15.0,17.0,10.0,,15.0,17.0,15.0,,15.0,15.0,17.0,15.0,,,2.08,,
malmo ff,a,67.0,19.0,67.0,67.0,67.0,29.0,67.0,101.0,67.0,101.0,101.0,41.0,,67.0,101.0,67.0,,67.0,101.0,81.0,101.0,,,2.08,,
man utd,b,1.29,1.29,,,,1.25,1.22,1.22,1.25,1.25,1.3,1.29,1.25,1.25,,1.25,,1.25,1.25,1.25,1.25,,,,,
wolfsburg,b,1.44,1.67,,,,1.53,1.53,1.44,1.5,1.55,1.5,1.53,1.5,1.5,,1.53,,1.5,1.55,1.5,1.55,,,,,
cska moscow,b,2.88,2.62,,,,2.62,2.5,2.5,2.75,2.8,2.75,2.5,2.62,2.62,,2.5,,2.62,2.8,2.75,2.8,,,,,
psv,b,3.75,2.75,,,,3.5,3.5,4.0,3.5,3.5,3.4,3.75,3.5,3.5,,3.5,,3.5,3.5,3.75,3.5,,,,,
benfica,c,1.05,1.05,1.07,1.05,1.07,1.08,1.08,1.02,1.05,1.08,1.04,1.12,1.05,,1.05,1.08,,,1.08,1.07,1.08,,,1.05,,
atletico madrid,c,1.1,1.05,1.08,1.07,1.08,1.14,1.12,1.02,1.08,1.08,1.03,1.17,1.08,,1.08,1.07,,,1.08,1.07,1.08,,,1.06,,
galatasaray,c,5.5,6.0,4.5,5.0,4.5,3.8,3.75,7.0,5.0,5.0,7.0,3.2,5.0,,6.0,5.0,,,5.0,5.0,5.0,,,5.46,,
fc astana,c,34.0,19.0,34.0,29.0,34.0,17.0,26.0,34.0,26.0,31.0,34.0,26.0,26.0,,26.0,34.0,,,31.0,34.0,31.0,,,22.0,,
juventus,d,1.1,1.06,1.06,1.07,1.06,1.1,1.08,1.02,1.1,1.08,1.06,1.1,1.1,1.08,1.06,1.07,,1.08,1.08,1.08,1.08,,,1.07,,
man city,d,1.33,1.36,1.29,1.3,1.29,1.3,1.25,1.33,1.29,1.33,1.29,1.3,1.3,1.29,1.33,1.3,,1.29,1.33,1.3,1.33,,,1.29,,
sevilla,d,2.75,2.62,2.88,2.75,2.88,2.62,2.75,2.62,2.62,2.75,3.1,2.62,2.62,2.62,2.75,2.5,,2.62,2.75,2.75,2.75,,,2.81,,
monchengladbach,d,15.0,15.0,21.0,17.0,21.0,17.0,17.0,21.0,15.0,16.0,19.0,21.0,17.0,17.0,17.0,17.0,,17.0,16.0,19.0,16.0,,,14.8,,
barcelona,e,1.01,1.03,1.02,1.01,,1.04,1.02,1.0,1.02,1.01,1.01,1.02,1.02,1.02,1.02,1.02,,,1.01,1.01,1.01,,,1.01,,
bayer leverkusen,e,1.53,1.5,1.53,1.53,,1.4,1.5,1.53,1.53,1.55,1.53,1.4,1.53,1.52,1.53,1.5,,,1.55,1.55,1.55,,,1.37,,
roma,e,2.5,2.88,2.5,2.4,,2.62,2.38,2.62,2.5,2.4,2.62,2.75,2.38,2.38,2.5,2.25,,,2.4,2.35,2.4,,,2.86,,
bate borisov,e,26.0,9.0,13.0,15.0,,15.0,13.0,10.0,15.0,26.0,13.0,13.0,11.0,17.0,21.0,21.0,,,26.0,17.0,26.0,,,18.1,,
bayern munich,f,1.0,1.01,,1.0,,1.01,1.0,1.0,1.0,,1.0,1.0,1.0,1.01,1.01,,,1.01,,,,,,,,
olympiakos,f,1.83,1.73,1.8,1.8,1.8,1.85,1.73,1.73,1.67,1.8,1.75,1.8,1.73,1.73,1.72,1.75,,1.73,1.8,1.75,1.8,,,1.67,,
arsenal,f,3.5,3.75,3.5,3.5,3.5,3.6,3.25,3.75,3.5,3.5,3.3,3.5,3.5,3.5,3.5,3.5,,3.5,3.5,3.5,3.5,,,3.57,,
din zagreb,f,4.0,3.5,3.75,4.0,3.75,3.2,3.75,3.75,4.0,4.0,4.33,3.75,3.75,4.0,4.0,3.5,,4.0,4.0,4.0,4.0,,,3.71,,
chelsea,g,1.13,1.14,1.13,1.11,1.13,1.12,1.1,1.17,1.14,1.12,1.17,1.14,1.12,1.12,1.12,1.1,,1.12,1.12,1.12,1.12,,,1.12,,
porto,g,1.17,1.14,1.14,1.14,1.14,1.17,1.14,1.17,1.14,1.16,1.15,1.17,1.14,1.14,1.14,1.14,,1.14,1.16,1.16,1.16,,,1.13,,
dynamo kiev,g,3.0,3.0,3.0,3.1,3.0,3.0,3.25,2.5,3.0,3.0,2.8,2.5,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,,2.58,,
maccabi tel aviv,g,51.0,23.0,26.0,34.0,26.0,26.0,26.0,56.0,26.0,51.0,67.0,41.0,34.0,41.0,41.0,21.0,,41.0,51.0,34.0,51.0,,,32.0,,
zenit,h,1.08,1.08,1.08,1.07,1.08,1.08,1.08,1.05,1.08,1.07,1.06,1.08,1.08,1.08,1.08,1.08,,1.08,1.07,1.08,1.07,,,1.08,,
valencia,h,1.2,1.25,1.2,1.22,1.2,1.18,1.2,1.17,1.2,1.2,1.22,1.22,1.22,1.2,1.2,1.25,,1.2,1.2,1.22,1.2,,,1.19,,
lyon,h,4.5,3.25,4.0,4.0,4.0,4.2,3.75,4.33,4.0,4.25,4.33,3.75,4.0,4.0,4.33,3.0,,4.0,4.25,4.0,4.25,,,3.85,,
gent,h,8.0,9.0,9.0,9.0,9.0,9.5,10.0,11.0,8.0,10.0,10.0,8.5,9.0,9.0,9.0,10.0,,9.0,10.0,8.0,10.0,,,8.03,,
